,name,percent_change,values
0,Bitcoin,1h,0.1057681142857143
1,Bitcoin,24h,0.09780299
2,Bitcoin,7d,6.07722552
3,Bitcoin,30d,6.184106627142858
4,Bitcoin,60d,8.81134273142857
5,Bitcoin,90d,-4.979203098571429
6,Ethereum,1h,-0.012372587142857142
7,Ethereum,24h,-0.08837566857142856
8,Ethereum,7d,0.3835556614285714
9,Ethereum,30d,-4.153341317142858
10,Ethereum,60d,-6.0869252085714285
11,Ethereum,90d,-17.4148797
12,Tether USDt,1h,-0.007273368571428572
13,Tether USDt,24h,-0.02290059
14,Tether USDt,7d,0.03374498571428571
15,Tether USDt,30d,-0.01525889857142857
16,Tether USDt,60d,0.024593638571428572
17,Tether USDt,90d,0.019977662857142857
18,BNB,1h,0.08582230428571429
19,BNB,24h,-0.3047068371428571
20,BNB,7d,2.6560065428571424
21,BNB,30d,-2.577677801428571
22,BNB,60d,-2.842160167142857
23,BNB,90d,-13.555998392857143
24,XRP,1h,-0.05243272571428571
25,XRP,24h,-0.26961183857142856
26,XRP,7d,0.6333459471428572
27,XRP,30d,-2.916600274285714
28,XRP,60d,-5.940726667142857
29,XRP,90d,-38.57158915714285
30,USDC,1h,-0.007308958571428571
31,USDC,24h,-0.007150134285714286
32,USDC,7d,-0.00021894285714285682
33,USDC,30d,-0.016292594285714286
34,USDC,60d,-0.010967704285714286
35,USDC,90d,0.0038160828571428573
36,Solana,1h,0.02017530285714286
37,Solana,24h,-2.0128559128571424
38,Solana,7d,8.031369029999999
39,Solana,30d,18.495764394285715
40,Solana,60d,7.800612930000001
41,Solana,90d,-7.551675341428572
42,Cardano,1h,0.17013654714285714
43,Cardano,24h,-0.8277781614285714
44,Cardano,7d,-0.8660604214285714
45,Cardano,30d,-2.966756912857143
46,Cardano,60d,-8.910022025714287
47,Cardano,90d,-22.817078820000003
48,Dogecoin,1h,-0.1427554042857143
49,Dogecoin,24h,-0.48643176285714285
50,Dogecoin,7d,0.6999190728571428
51,Dogecoin,30d,-5.602999215714285
52,Dogecoin,60d,-8.298072114285715
53,Dogecoin,90d,-17.316026797142857
54,TRON,1h,-0.22330608857142856
55,TRON,24h,0.10140940571428571
56,TRON,7d,3.067807037142857
57,TRON,30d,5.718887567142857
58,TRON,60d,19.649927862857144
59,TRON,90d,9.882680957142856
